[train_arena] n_steps-512_s2
[train_arena] {
  "control_style": "direct",
  "policy": "MlpPolicy",
  "started": "2026-09-12T00:30:27",
  "git_commit": "fc2cf4b",
  "algorithm": "PPO",
  "total_timesteps": 100000,
  "n_envs": 8,
  "learning_rate": 0.0003,
  "n_steps": 512,
  "batch_size": 512,
  "gamma": 0.99,
  "ent_coef": 0.005,
  "net_arch": [
    64,
    64
  ],
  "seed": 2,
  "run_name": "n_steps-512_s2",
  "mechanics": false,
  "observation_dim": 20,
  "mechanics_config": null,
  "model_path": "/Users/hanhdo/Documents/RMIT/Semester 11/Games and AI Techniques/assignments/A3/A3_TDuong/logs/arena_sweep/models/ppo_direct.zip",
  "ignored_hyperparameters": []
}
Using cpu device
Logging to /Users/hanhdo/Documents/RMIT/Semester 11/Games and AI Techniques/assignments/A3/A3_TDuong/logs/arena_sweep/n_steps-512_s2/tb_2
------------------------------------
| behaviour/            |          |
|    iterations           | 13          |
|    time_elapsed         | 3           |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.009093103 |
|    clip_fraction        | 0.0545      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.58       |
|    explained_variance   | 0.775       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.25        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00662    |
|    value_loss           | 0.631       |
-----------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 3.68        |
|    episode_length       | 317         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.06        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 317         |
|    ep_rew_mean          | -11.7       |
| time/                   |             |
|    fps                  | 14637       |
|    iterations           | 14          |
|    time_elapsed         | 3           |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.009331297 |
|    clip_fraction        | 0.0532      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.51       |
|    explained_variance   | 0.714       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.31        |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00618    |
|    value_loss           | 0.848       |
-----------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 4.26        |
|    episode_length       | 337         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.07        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 337         |
|    ep_rew_mean          | -11.3       |
| time/                   |             |
|    fps                  | 14574       |
|    iterations           | 15          |
|    time_elapsed         | 4           |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.004731725 |
|    clip_fraction        | 0.0107      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.51       |
|    explained_variance   | 0.681       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.315       |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00319    |
|    value_loss           | 0.655       |
-----------------------------------------
------------------------------------------
| behaviour/              |              |
|    damage_taken         | 5            |
|    enemies_killed       | 5.04         |
|    episode_length       | 365          |
|    phase_reached        | 1            |
|    spawners_destroyed   | 0.1          |
|    survival_rate        | 0            |
| rollout/                |              |
|    ep_len_mean          | 365          |
|    ep_rew_mean          | -10.6        |
| time/                   |              |
|    fps                  | 14563        |
|    iterations           | 16           |
|    time_elapsed         | 4            |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0066004344 |
|    clip_fraction        | 0.032        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.49        |
|    explained_variance   | 0.548        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.378        |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00421     |
|    value_loss           | 0.894        |
------------------------------------------
----------------------------------------
| behaviour/              |            |
|    damage_taken         | 5          |
|    enemies_killed       | 5.63       |
|    episode_length       | 384        |
|    phase_reached        | 1          |
|    spawners_destroyed   | 0.12       |
|    survival_rate        | 0          |
| rollout/                |            |
|    ep_len_mean          | 384        |
|    ep_rew_mean          | -10.1      |
| time/                   |            |
|    fps                  | 14509      |
|    iterations           | 17         |
|    time_elapsed         | 4          |
|    total_timesteps      | 69632      |
| train/                  |            |
|    approx_kl            | 0.00591734 |
|    clip_fraction        | 0.0391     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.51      |
|    explained_variance   | 0.569      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.568      |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.00498   |
|    value_loss           | 1          |
----------------------------------------
----------------------------------------
| behaviour/              |            |
|    damage_taken         | 5          |
|    enemies_killed       | 6.15       |
|    episode_length       | 408        |
|    phase_reached        | 1          |
|    spawners_destroyed   | 0.18       |
|    survival_rate        | 0          |
| rollout/                |            |
|    ep_len_mean          | 408        |
|    ep_rew_mean          | -9.54      |
| time/                   |            |
|    fps                  | 14503      |
|    iterations           | 18         |
|    time_elapsed         | 5          |
|    total_timesteps      | 73728      |
| train/                  |            |
|    approx_kl            | 0.00686118 |
|    clip_fraction        | 0.0394     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.47      |
|    explained_variance   | 0.67       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.401      |
|    n_updates            | 170        |
|    policy_gradient_loss | -0.00468   |
|    value_loss           | 0.874      |
----------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 6.59        |
|    episode_length       | 427         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.21        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 427         |
|    ep_rew_mean          | -9.13       |
| time/                   |             |
|    fps                  | 14495       |
|    iterations           | 19          |
|    time_elapsed         | 5           |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.006827308 |
|    clip_fraction        | 0.0407      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.47       |
|    explained_variance   | 0.672       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.339       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00519    |
|    value_loss           | 1.01        |
-----------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 7.1         |
|    episode_length       | 448         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.24        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 448         |
|    ep_rew_mean          | -8.68       |
| time/                   |             |
|    fps                  | 14498       |
|    iterations           | 20          |
|    time_elapsed         | 5           |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.007821833 |
|    clip_fraction        | 0.0341      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.45       |
|    explained_variance   | 0.654       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.532       |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00482    |
|    value_loss           | 0.977       |
-----------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 7.73        |
|    episode_length       | 478         |
|    phase_reached        | 1           |
|    spawners_destroyed   | 0.25        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 478         |
|    ep_rew_mean          | -8.3        |
| time/                   |             |
|    fps                  | 14440       |
|    iterations           | 21          |
|    time_elapsed         | 5           |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.007665824 |
|    clip_fraction        | 0.0346      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.44       |
|    explained_variance   | 0.651       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.361       |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00507    |
|    value_loss           | 0.899       |
-----------------------------------------
------------------------------------------
| behaviour/              |              |
|    damage_taken         | 5            |
|    enemies_killed       | 8.01         |
|    episode_length       | 490          |
|    phase_reached        | 1            |
|    spawners_destroyed   | 0.28         |
|    survival_rate        | 0            |
| rollout/                |              |
|    ep_len_mean          | 490          |
|    ep_rew_mean          | -7.99        |
| time/                   |              |
|    fps                  | 14449        |
|    iterations           | 22           |
|    time_elapsed         | 6            |
|    total_timesteps      | 90112        |
| train/                  |              |
|    approx_kl            | 0.0056818156 |
|    clip_fraction        | 0.0299       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.46        |
|    explained_variance   | 0.69         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.425        |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00379     |
|    value_loss           | 0.966        |
------------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 8.5         |
|    episode_length       | 506         |
|    phase_reached        | 1.02        |
|    spawners_destroyed   | 0.33        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 506         |
|    ep_rew_mean          | -7.21       |
| time/                   |             |
|    fps                  | 14421       |
|    iterations           | 23          |
|    time_elapsed         | 6           |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.006982647 |
|    clip_fraction        | 0.0377      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.46       |
|    explained_variance   | 0.618       |
|    learning_rate        | 0.0003      |
|    loss                 | 1           |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.00478    |
|    value_loss           | 1.71        |
-----------------------------------------
-----------------------------------------
| behaviour/              |             |
|    damage_taken         | 5           |
|    enemies_killed       | 8.92        |
|    episode_length       | 529         |
|    phase_reached        | 1.04        |
|    spawners_destroyed   | 0.38        |
|    survival_rate        | 0           |
| rollout/                |             |
|    ep_len_mean          | 529         |
|    ep_rew_mean          | -6.57       |
| time/                   |             |
|    fps                  | 14409       |
|    iterations           | 24          |
|    time_elapsed         | 6           |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.009020916 |
|    clip_fraction        | 0.0458      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.46       |
|    explained_variance   | 0.571       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.688       |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.00443    |
|    value_loss           | 1.68        |
-----------------------------------------
------------------------------------------
| behaviour/              |              |
|    damage_taken         | 5            |
|    enemies_killed       | 9.09         |
|    episode_length       | 538          |
|    phase_reached        | 1.04         |
|    spawners_destroyed   | 0.39         |
|    survival_rate        | 0            |
| rollout/                |              |
|    ep_len_mean          | 538          |
|    ep_rew_mean          | -6.44        |
| time/                   |              |
|    fps                  | 14412        |
|    iterations           | 25           |
|    time_elapsed         | 7            |
|    total_timesteps      | 102400       |
| train/                  |              |
|    approx_kl            | 0.0066341544 |
|    clip_fraction        | 0.0252       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.45        |
|    explained_variance   | 0.733        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.302        |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00356     |
|    value_loss           | 0.859        |
------------------------------------------
[train_arena] saved /Users/hanhdo/Documents/RMIT/Semester 11/Games and AI Techniques/assignments/A3/A3_TDuong/logs/arena_sweep/models/ppo_direct.zip in 7.2s
[train_arena] tensorboard --logdir /Users/hanhdo/Documents/RMIT/Semester 11/Games and AI Techniques/assignments/A3/A3_TDuong/logs/arena_sweep
